classification,start_time,end_time,duration,f0_mean,f0_std,f0_max,f0_min,f0_reg_coef,f0_reg_coef_mse,f0_slope,mean_distances_f0,silence_before_duration,silence_after_duration,energy_reg,energy_reg_mse,energy_min,energy_max,energy_mean,mean_coeff_0,mean_coeff_1,mean_coeff_2,mean_coeff_3,mean_coeff_4,mean_coeff_5,mean_coeff_6,mean_coeff_7,mean_coeff_8,mean_coeff_9,mean_coeff_10,mean_coeff_11,mean_coeff_12,std_coeff_0,std_coeff_1,std_coeff_2,std_coeff_3,std_coeff_4,std_coeff_5,std_coeff_6,std_coeff_7,std_coeff_8,std_coeff_9,std_coeff_10,std_coeff_11,std_coeff_12,stability_distance
Unknown,2.0405668934240366,2.5405668934240366,0.5,126.62950518372958,8.915196884128399,137.3354826385662,116.79483334826129,-50.49264209812229,22.69533323623276,-56.50834825771381,1.5334909921622843,2.02,0.0,-5.127598673764884,0.43387041885013716,0.010385487528344011,3.17059951038996,0.659146574867324,689.1125429385671,690.7913084399434,-188.42717639560578,219.41679185616292,-80.33537818604819,-5.947884700749446,13.933639094504054,-15.309279218001551,-16.548370613576324,9.440962255105784,-51.72413628579933,38.53208234451979,-51.736311814825534,14.96461639079558,7.035753971454782,11.470525740907284,3.460213535086657,3.535255678383231,5.827171103174681,4.491507745965049,3.116446945126696,2.1755442847292947,2.7975229562994612,2.3906727526474114,2.4353678847666576,2.6572523121913156,107.27755313419297
Unknown,2.1405668934240367,2.6405668934240367,0.5,131.38665735372896,16.904942721142884,142.83184172684759,116.79483334826129,-23.70575329876937,69.3782423586426,-26.48926553716097,1.8006308322653204,0.0,0.0,0.4635969568189113,0.26550634778568205,0.010385487528344011,2.086500690806899,0.5031435175434003,672.4767287455463,672.0910258278956,-196.08282895347793,231.43754255143244,-67.99687611519902,4.047884574828641,12.968744058151625,-9.115769029045303,-10.8864631910205,-3.7864381374691782,-62.32347613626966,38.333533791059835,-58.49998866645911,14.020713749909037,6.225599957380034,11.427993834970836,3.554368276730692,3.071200962013272,6.110171373941641,4.788794908824027,2.750748492899797,2.309358695459845,3.925881909478143,2.8937676136072703,2.985752461827326,2.4697342978571446,102.86915940704199
Unknown,3.6805668934240368,4.180566893424037,0.5,112.90688112806956,7.215119900929862,122.25465211525102,106.75396485604715,-43.611560496713565,6.490124517449274,-47.76023998663279,1.1745627764101423,0.9900000000000002,0.0,-2.067605109534564,0.0939955977465102,0.005218740670976524,1.4970906860336894,0.46495010894362404,658.4073796872999,649.1598556957111,-190.66866549929983,237.8559198119129,-68.46573005768302,14.663208750682568,29.964353218759687,13.059143131244237,-7.6394713525795295,9.118748009530913,-46.75181417274283,48.3086393297847,-43.36219192056397,16.692504064327775,6.818133894431781,12.55683463822724,4.381791502482255,3.9953200569282727,3.5210439221925025,5.726000026503687,3.542559688048105,3.509179977639368,3.656081731493433,2.9066906417113816,2.4413830136003862,2.301562614759371,102.26983755091491
Unknown,3.780566893424037,4.280566893424036,0.49999999999999956,114.83607214858831,9.652574746761147,125.64001055723527,106.75396485604715,1.2780209091441959,40.0715208696969,-25.246720094704962,1.8454134371137338,0.0,0.4500000000000002,-2.1495982925435313,0.09403412632278031,0.00519680525971708,1.4805459367410039,0.3929692175752065,638.7157968747516,631.516460211893,-195.0677183434146,234.1721725475301,-76.88626397794663,26.614827769453427,19.390724560507284,21.906901752733717,0.9293088337462474,-1.6159732734462915,-55.21140387258988,47.11840246259538,-49.618531138833504,16.135058185826836,6.995259825481817,11.399817198659518,4.185194839034221,3.8033520846338127,4.1292153083200525,5.283380686308977,3.3149105782909714,3.2850890321786435,3.8745597264449536,3.2340752928612426,2.502225477456812,2.2609915453575518,105.83818807801029
Unknown,4.730566893424037,5.230566893424037,0.5,120.8244652998941,23.213988265017964,159.81426655763062,107.6050193774599,-75.28535610056925,58.48711238625903,-38.00910411428348,1.786657608879271,0.4500000000000002,0.0,2.306697706728232,0.4359738554666961,0.010385487528344456,2.506741774367013,0.646399479782551,506.48372629521305,658.8180740392263,-93.2849947051287,174.74272903121857,-34.96239794639158,105.29681631993256,75.28248614485571,3.2092893163890484,-43.59618280076232,3.256272854207084,-90.09244438452174,36.966079012483874,-14.185895514379691,15.728363460924319,7.782803475146146,3.6559582497653222,3.855166199402841,1.8382764143361507,1.8035532189668977,3.0711737043856573,2.913702276876346,1.8746562656633765,1.7694526756593438,1.6966096849908232,1.5739278076343055,2.2646868380806495,66.68664591227588
Unknown,4.830566893424036,5.330566893424036,0.5,108.83123623755296,4.778104455301574,114.69955212555979,105.05681013005892,-26.37846034746448,0.5928673025279999,-27.994105063184268,0.5540601479904228,0.0,0.0,-1.4963931624465594,0.3893707105706295,0.010385487528344456,2.3541869164792035,0.6813188148567777,538.7990127567683,676.6841856245605,-88.64089441067284,173.9926946508458,-32.5544281734058,103.97585514543903,81.22216414099017,-0.5795723001275748,-45.94966737803256,0.6731504248356632,-88.77136208304347,38.51571523439857,-7.187401185619423,11.36899550602766,5.443908329068657,3.9020609625114293,3.6894938211395316,1.7770341628868893,1.7589992025605468,2.387201915382714,2.4811847811272405,1.8771950342564434,1.591310151594323,1.5771419331164767,1.538038484454164,1.6032523599757655,55.02505522276289
Unknown,4.930566893424036,5.430566893424036,0.5,107.22204724068392,4.0567974683806325,113.39538577577954,103.96359845573564,-19.963615944304753,1.6504364894178538,-10.847338422167732,0.6226163842195186,0.0,0.0,-4.542263052434402,0.05395263148339848,0.010385487528345344,2.449824407379253,0.6376575554035573,498.58727824474494,659.516527524688,-76.97757927608846,188.7734321004288,-29.348344913705876,110.13557134722521,77.96167229254362,7.896719262429116,-45.21592917162579,5.204976382103049,-84.88969204467878,44.48248695154604,-11.079641703101226,12.243166572948997,5.544003312501801,3.2629480463699925,2.9867181533615534,1.476900391082303,2.0767845437054344,2.3933027154490873,2.546225662487224,1.6944319457257555,1.539132077531728,1.5372956083357936,1.4446999433651202,1.7764884396396603,38.18324374586276
Unknown,6.010566893424037,6.510566893424037,0.5,124.24260778431668,6.645097348950712,133.8714870744689,115.11367579061934,25.385249588955332,18.392244672508436,6.419958824572002,1.1721955947581397,0.5200000000000005,0.0,-1.0063322408045225,0.287521689825425,0.010385487528344456,2.9616849023233587,0.9247012903743259,783.2622521784087,697.102742944039,-154.40411283160785,163.0879552440297,-57.808056378821355,96.33403219426235,-11.192401739744216,-65.84060352214546,-9.158361089426599,-34.51445741182298,-64.05780302599915,46.23316298336299,-36.030217625276265,9.34478372757579,3.196877145655363,5.450053343237937,2.4445773031183364,3.0045482747647765,3.431897493510274,3.47699298440153,6.0933318139642,2.2710764810724466,2.641667676838738,2.5885430599113333,1.5493285128766452,2.1594427907073688,64.17083054102807
Unknown,6.210566893424036,6.710566893424036,0.5,123.79738641624402,7.007944036080478,133.8714870744689,116.21922635952461,-33.481019449185986,13.537806895553251,-23.224415752522766,0.9320722653135393,0.0,0.0,-3.7653918220771834,0.2109644596118888,0.010385487528344456,2.8109900749075116,0.7532099047096964,762.3560614620175,662.975226107436,-171.03399580318595,188.08535436824263,-61.23820341375994,106.23673242939319,-7.634402010825025,-60.517211465979074,-7.41068416134032,-32.64979107415718,-59.14299226104733,47.90721930482356,-53.99991491652754,10.767100141494165,4.241366959743099,5.336662807039214,4.510949792208793,2.8354518735021434,2.464463433259391,3.6805025300037264,6.552119948797616,2.40703055253715,2.649468997591794,1.9764889143335005,1.669497922023277,1.8384234298144977,61.84626087513184
Unknown,6.9405668934240365,7.4405668934240365,0.5,122.52332926577805,11.343153499560874,139.4409263233092,112.17070272190597,-71.84803602505819,14.341644935055427,-67.32576674130836,1.118225800087393,0.13999999999999968,0.0,0.10712446366926502,0.3907538454809284,0.010385487528344456,2.589720828885007,0.7820448875691307,720.0253000001564,681.345849612498,-148.10056517010025,234.91474114005524,-73.0950464260349,37.44137721395227,11.559516294826937,-39.68767655946263,4.923227276278577,-18.77329509397921,-61.676247052108366,34.055539358318434,-48.17890262067372,11.671002868951334,4.084477621328911,10.43022653594103,5.6827844525218,4.541663452947398,3.717267928081026,4.376120828088993,5.79669899251372,2.9922752049826227,3.696783061263933,2.8709799916752536,2.3695302174767043,2.692214435015797,126.12731189378434
